movie_title,word_count,lexical_diversity,sentiment,subjectivity,avg_sentence_length
Animal Among Us_3612008,17315,0.3648281836557898,0.04396284528595516,0.47004619766032024,10.681846153846154
Animal Kingdom_1313092,20840,0.23570057581573897,-0.039240287944597,0.448189102221228,6.672535211267606
Anna Karenina_1781769,24577,0.24539203320177402,0.06027744798733608,0.4665204348926366,8.062266076896904
Annabelle_3322940,18360,0.2811546840958606,0.07171170180206889,0.5064281744305661,7.689256198347107
Annie Hall_0075686,23897,0.23718458383897562,0.07784312084260647,0.5082954828174261,7.856095936042638
Annihilation_2798920,21367,0.2673749239481443,0.03109920943254276,0.4079289746073786,6.640746500777605
Anomalisa_2401878,9649,0.2873872940201057,0.13163763533475084,0.5949464467156774,4.811227024341778
Anonymous_1521197,24070,0.26235978396343995,0.10326822122400972,0.48535483077528446,8.149864682002706
Antitrust_0218817,22287,0.2958226768968457,0.06801615553825159,0.480089971756638,7.8384723195515065
Antz_0120587,16983,0.2965318259435907,0.022848319810438306,0.525061098677378,8.814454126089185
Any Given Sunday_0146838,44808,0.2377030887341546,0.03182650036856335,0.43996356850323975,8.033273703041145
Apache Drums_0043291,17535,0.21083547191331622,0.04394835928609836,0.4730776461008024,10.94920440636475
Apocalypse Now_0078788,26532,0.23839137645107794,0.044417022549331414,0.4614867834148199,9.246784845324992
April Fool s Day_0090655,17344,0.28989852398523985,0.04636951501662136,0.4697262641920458,7.428999144568007
Apt Pupil_0118636,2947,0.4336613505259586,0.03635717158947247,0.4256847073771853,7.591259640102828
Aquaman_1477834,19322,0.3005382465583273,0.02205104339482838,0.43975546818491884,7.67938021454112
Arbitrage_1764183,15816,0.2893272635306019,0.04929011111404404,0.46976462652072404,6.477190149374243
Arctic Blue_0106303,23969,0.2607951937919813,0.002660484690982287,0.4366349131517671,9.397727272727273
Are We Done Yet_0422774,10300,0.30718446601941746,0.08035638194562915,0.4910922502055504,6.5948717948717945
Argo_1024648,19216,0.2950666111573689,0.034250563322974714,0.467954786196391,7.966157655798597
Armageddon_0120591,23771,0.3014597618947457,0.06122635764586678,0.4865400138777844,6.248604769152714
Armstrong_4451006,29968,0.28293513080619326,0.03253178952906973,0.4446025516190271,7.250543084721216
Army of Darkness_0106308,9166,0.3161684486144447,-0.0680684034265845,0.44779537369238365,8.04820333041192
Arrival_2543164,22197,0.2805334054151462,0.04309280303030302,0.4070088847660276,8.226533628972653
Arthur_1334512,19111,0.32201350007848883,0.04754510754669582,0.5371170087148484,6.763380281690141
As Above So Below_2870612,16114,0.2808117165197965,0.055376533460838456,0.48366381545486026,6.800084175084175
As Good as It Gets_0119822,19364,0.2525821111340632,0.05035033302341648,0.4984916095095946,7.464381979206777
Asesinos por naturaleza_0309302,24097,0.25189857658629705,0.04019148677254616,0.45605964349543854,8.760202239075479
Assassination Nation_6205872,26903,0.26443147604356393,0.0032090416705801354,0.5062384473709257,7.903197418597829
Assassins_0112401,21322,0.23196698245943156,-0.0019397924136080238,0.42955005073654806,7.987649700598802
At First Sight_0132512,25114,0.20315361949510233,0.06857618618063825,0.4691563455570307,9.981717011128776
Atomic Blonde_2406566,20383,0.2502575675808272,0.030264522394001254,0.4037365028203793,8.568668626627467
Atonement_0783233,17487,0.30205295362269113,0.021630655687711442,0.44974782863284657,7.473415567843471
Au pan coup_0290137,15792,0.32890070921985815,0.02630506679485045,0.44797625451471557,5.233420879842416
Austin Powers International Man of Mystery_0118655,16660,0.3237094837935174,0.02458712331729574,0.5240561365837232,7.35767707875055
Austin Powers The Spy Who Shagged Me_0145660,15110,0.3332892124420913,0.0025666867160112268,0.5326407031428865,7.346601941747573
Authors Anonymous_2114461,18392,0.2773488473249239,0.1486753870653699,0.48810079266243667,5.714020427112349
Autumn in New York_0174480,21944,0.27123587313160774,0.0865440446606298,0.49300389363118813,8.418773946360153
Avatar_0499549,33127,0.25879192199716244,0.020169425676998545,0.45532024766303864,10.080012169151201
Avengers Endgame_4154796,20450,0.33007334963325186,0.07684974019282526,0.48141653382078936,6.122268163024217
Awake_0211933,11531,0.290434480964357,0.060051065412348274,0.4524688093119317,7.721552878179384
Awakenings_0099077,17298,0.29292403746097817,0.007545505729798118,0.4209605100273842,9.366096079514081
Babel_0449467,23475,0.21026624068157615,-0.0009174264363795227,0.4429839775146635,7.9607179139857775
Baby Driver_3890160,26273,0.25463403494081377,0.023895775644936727,0.42284565322820405,7.385089686098655
Back to the Future Part II_0096874,23779,0.29122334833256236,0.043121138706581776,0.4150307489627107,8.477998580553583
Back to the Future_0088763,26766,0.2222595830531271,0.061051774585236376,0.41756338410448013,9.946978123841305
Back to the Planet of the Apes_0071184,22200,0.27346846846846845,0.05332448870067899,0.5046353160615717,7.6514423076923075
Backdraft_0101393,24816,0.2584622823984526,0.01866101153198782,0.4979282318750244,8.21031746031746
Bad Boys for Life_1502397,21251,0.2702461060655969,0.016557826643053924,0.46636509459155595,8.010161836657884
Bad Country_2350892,19600,0.33964285714285714,-0.01305931847952479,0.4537364280810883,6.45242782152231
Bad Day at Black Rock_0047849,19713,0.271495967128291,-0.021832226387911456,0.5050885763367818,8.145207733443028
Bad Dreams_0094701,20698,0.29104261281283217,0.051240697542780884,0.49896908896908865,6.983485001685204
Bad Lieutenant_0103759,4613,0.37285931064383265,-0.00543276275156531,0.47199157440754114,7.186915887850467
Bad Moon_0115610,20552,0.26664071623199687,0.054833199601360426,0.4657082806425927,7.86694624475791
Bad Santa_0307987,14190,0.3273431994362227,-0.005524483702031068,0.4692049168325769,7.780821917808219
Bad Teacher_1284575,18420,0.2774158523344191,0.11034548080595886,0.5000730417458359,6.918474195961107
Bad Times at the El Royale_6628394,25343,0.23237185810677505,0.03203206015450919,0.5129251209863456,6.172740524781341
Bad Words_2170299,15277,0.30568828958565164,0.03761755960639888,0.5052004975372318,6.5016891891891895
Badlands_0069762,12657,0.27154934028600775,0.05657949909050264,0.4249983994878361,7.721655668866227
Balls Out Gary the Tennis Coach_0787470,18899,0.30514842055135194,-0.0012720450635880125,0.5090932264032265,6.956824002927187
Bamboozled_0215545,20175,0.26879801734820324,0.09575423413794099,0.4713800170647086,7.436557557925708
Barbershop_0303714,20905,0.46012915570437696,0.01276203994103654,0.4452976476786004,8.14986160537762
Bareilly Ki Barfi_6967980,20050,0.2575062344139651,0.026173155516735668,0.4076642296411321,6.978782608695652
